datetime,open,high,low,close,volume,res
1975-08-27 22:00:00,4.71,4.71,4.71,4.71,0,1d
1975-08-28 22:00:00,4.57,4.57,4.57,4.57,0,1d
1975-09-01 22:00:00,4.385,4.385,4.385,4.385,0,1d
1975-09-02 22:00:00,4.426,4.426,4.426,4.426,0,1d
1975-09-03 22:00:00,4.54,4.54,4.54,4.54,0,1d
1975-09-04 22:00:00,4.51,4.51,4.51,4.51,0,1d
1975-09-07 22:00:00,4.47,4.47,4.47,4.47,0,1d
1975-09-08 22:00:00,4.405,4.405,4.405,4.405,0,1d
1975-09-09 22:00:00,4.54,4.54,4.54,4.54,0,1d
1975-09-10 22:00:00,4.55,4.55,4.55,4.55,0,1d
1975-09-11 22:00:00,4.625,4.625,4.625,4.625,0,1d
1975-09-14 22:00:00,4.615,4.615,4.615,4.615,0,1d
1975-09-15 22:00:00,4.61,4.61,4.61,4.61,0,1d
1975-09-16 22:00:00,4.5,4.5,4.5,4.5,0,1d
1975-09-17 22:00:00,4.555,4.555,4.555,4.555,0,1d
1975-09-18 22:00:00,4.55,4.55,4.55,4.55,0,1d
1975-09-21 22:00:00,4.505,4.505,4.505,4.505,0,1d
1975-09-22 22:00:00,4.44,4.44,4.44,4.44,0,1d
1975-09-23 22:00:00,4.49,4.49,4.49,4.49,0,1d
1975-09-24 22:00:00,4.52,4.52,4.52,4.52,0,1d
1975-09-25 22:00:00,4.54,4.54,4.54,4.54,0,1d
1975-09-28 22:00:00,4.52,4.52,4.52,4.52,0,1d
1975-09-29 22:00:00,4.505,4.505,4.505,4.505,0,1d
1975-09-30 22:00:00,4.525,4.525,4.525,4.525,0,1d
1975-10-01 22:00:00,4.535,4.535,4.535,4.535,0,1d
1975-10-02 22:00:00,4.445,4.445,4.445,4.445,0,1d
1975-10-05 22:00:00,4.44,4.44,4.44,4.44,0,1d
1975-10-06 22:00:00,4.465,4.465,4.465,4.465,0,1d
1975-10-07 22:00:00,4.375,4.375,4.375,4.375,0,1d
1975-10-08 22:00:00,4.285,4.285,4.285,4.285,0,1d
1975-10-09 22:00:00,4.325,4.325,4.325,4.325,0,1d
1975-10-12 22:00:00,4.305,4.305,4.305,4.305,0,1d
1975-10-13 22:00:00,4.285,4.285,4.285,4.285,0,1d
1975-10-14 22:00:00,4.335,4.335,4.335,4.335,0,1d
1975-10-15 22:00:00,4.31,4.31,4.31,4.31,0,1d
1975-10-16 22:00:00,4.355,4.355,4.355,4.355,0,1d
1975-10-19 22:00:00,4.375,4.375,4.375,4.375,0,1d
1975-10-20 22:00:00,4.345,4.345,4.345,4.345,0,1d
1975-10-21 22:00:00,4.315,4.315,4.315,4.315,0,1d
1975-10-22 22:00:00,4.25,4.25,4.25,4.25,0,1d
1975-10-23 22:00:00,4.28,4.28,4.28,4.28,0,1d
1975-10-26 23:00:00,4.175,4.175,4.175,4.175,0,1d
1975-10-27 23:00:00,4.19,4.19,4.19,4.19,0,1d
1975-10-28 23:00:00,4.24,4.24,4.24,4.24,0,1d
1975-10-29 23:00:00,4.23,4.23,4.23,4.23,0,1d
1975-10-30 23:00:00,4.155,4.155,4.155,4.155,0,1d
1975-11-02 23:00:00,4.22,4.22,4.22,4.22,0,1d
1975-11-03 23:00:00,4.265,4.265,4.265,4.265,0,1d
1975-11-04 23:00:00,4.309,4.309,4.309,4.309,0,1d
1975-11-05 23:00:00,4.39,4.39,4.39,4.39,0,1d
